job_title,company_name,experience_level,type_of_contract,easy_apply,time_posted,num_applicants,job_link
Analista de datos,Cervecería AB InBev Chile,Entry level,Full-time,True,1 week ago,,https://www.linkedin.com/jobs/view/4315974002/
Data Analyst,Itaú Chile,Associate,Full-time,True,1 week ago,,https://www.linkedin.com/jobs/view/4332470657/
Data Analyst,Mallplaza,Associate,Full-time,True,4 weeks ago,,https://www.linkedin.com/jobs/view/4311505231/
Analista de datos,Prosegur,Mid-Senior level,Contract,False,6 months ago,,https://www.linkedin.com/jobs/view/4215005845/
"Analyst, Data Strategy",Mastercard,Entry level,Full-time,False,1 day ago,147 applicants,https://www.linkedin.com/jobs/view/4337341921/
Data Analyst,Banco BICE,Mid-Senior level,Full-time,True,2 weeks ago,,https://www.linkedin.com/jobs/view/4316339708/
Data Analyst,Falabella,Mid-Senior level,Full-time,False,6 days ago,,https://www.linkedin.com/jobs/view/4301719540/
Data Analyst,Banco Falabella,Entry level,Full-time,False,1 week ago,,https://www.linkedin.com/jobs/view/4309043442/
Analista de Datos (BI),WebClass,Mid-Senior level,Contract,False,10 months ago,,https://www.linkedin.com/jobs/view/4103123579/
Planning & Control Analyst,Despegar,Not Applicable,Full-time,True,3 weeks ago,87 applicants,https://www.linkedin.com/jobs/view/4314823240/
Analista de Datos - Logística,Grupo Falabella,Mid-Senior level,Full-time,True,3 weeks ago,,https://www.linkedin.com/jobs/view/4314410643/
Analista de Datos BI (Latam),BC Tecnología,Not Applicable,Full-time,False,4 weeks ago,,https://www.linkedin.com/jobs/view/4310035056/
Data Analyst,Falabella,Mid-Senior level,Full-time,False,6 days ago,108 applicants,https://www.linkedin.com/jobs/view/4333011280/
Global Data Analyst,Uber,Entry level,Full-time,False,1 week ago,104 applicants,https://www.linkedin.com/jobs/view/4318749640/
Data Analyst,Grupo Falabella,Mid-Senior level,Full-time,False,2 weeks ago,,https://www.linkedin.com/jobs/view/4308087331/
Analista de Datos,Patrimore,Not Applicable,Full-time,False,3 weeks ago,,https://www.linkedin.com/jobs/view/4310253327/
Data Analyst - Remoto,Imagemaker,Entry level,Full-time,False,1 week ago,,https://www.linkedin.com/jobs/view/4319069039/
Analista de Datos BI,Gatblac,Not Applicable,Full-time,False,5 days ago,71 applicants,https://www.linkedin.com/jobs/view/4320073630/
Data Analyst,Blue Home,Entry level,Full-time,True,6 days ago,,https://www.linkedin.com/jobs/view/4318913852/
,,,,True,,,https://www.linkedin.com/jobs/view/4308976818/
,,,,True,,,https://www.linkedin.com/jobs/view/4318603606/
